Git_Contributor_ID,combined_score,candidate_priority,Git_UserName,global_rank
MDQ6VXNlcjE0MzAwOTEw,0.4000000009121632,1,theClueless,1
MDQ6VXNlcjE1ODUyOA==,0.4,1,orzFly,2
MDQ6VXNlcjE3MjU0NzU=,0.4,1,qianlifeng,3
MDQ6VXNlcjE3MzM2MTA=,0.4000000000000001,1,RSNara,4
MDQ6VXNlcjE3NjEyMTE1,0.4000001289944436,1,tinydew4,5
MDQ6VXNlcjE4NDAzMDA1,0.4,1,electron-bot,6
MDQ6VXNlcjEwNTk2OTk=,0.4000007451092188,1,gerhardberger,7
MDQ6VXNlcjExMDEwNzU=,0.40000000115756895,1,issess,8
MDQ6VXNlcjExNjk5MTI=,0.40000008037913093,1,bao-qian,9
MDQ6VXNlcjEzODU5Mzk1,0.40000000013628284,1,csigs,10
MDQ6VXNlcjI0NDI5MDM2,0.4000004310631994,1,cchroot,11
MDQ6VXNlcjI2OTQ1NTk=,0.4000000011776025,1,rootkea,12
MDQ6VXNlcjIwNDA3NTI0,0.4,1,k8s-ci-robot,13
MDQ6VXNlcjIwNDMxMDky,0.4000007578864825,1,kptnewler,14
MDQ6VXNlcjIxMDEwMzU=,0.400020772607968,1,j3ffml,15
MDQ6VXNlcjIxMTEzMjIx,0.40000000113969425,1,flying-press,16
MDQ6VXNlcjIyMDMy,0.40000000630870336,1,mdvacca,17
MDQ6VXNlcjM1MDUzMjc0,0.4000005959117857,1,littlecry,18
MDQ6VXNlcjM5NzU5,0.4000011388951862,1,max-mapper,19
MDQ6VXNlcjMxMjg5NDk=,0.4000000011641206,1,xeropresence,20
MDQ6VXNlcjQ5NDI0NjQ=,0.40007536726479886,1,zmerlynn,21
MDQ6VXNlcjQ5NTgxMw==,0.4000000000016509,1,rshest,22
MDQ6VXNlcjQwODEzOTM5,0.400004525697932,1,WindowsAddict,23
MDQ6VXNlcjQxNTQ1MTY1,0.40000000132763025,1,mspaintmsi,24
MDQ6VXNlcjU0MTE4NzE0,0.4000003933197661,1,KomashiFX,25
MDQ6VXNlcjU2NzY=,0.4,1,JoshuaGross,26
MDQ6VXNlcjU2ODcwMjM=,0.40000000000830255,1,philIip,27
MDQ6VXNlcjUwMTYyMDY2,0.4000007574125789,1,tonytang731,28
MDQ6VXNlcjUzODkyNTc5,0.40000013651673216,1,dekunma,29
MDQ6VXNlcjY0NjI1Mw==,0.4,1,chenxiaolong,30
MDQ6VXNlcjc1MDM3OTA0,0.40000039601007986,1,thecatontheceiling,31
MDQ6VXNlcjcwODUzNDM=,0.4000108735757749,1,a-robinson,32
MDQ6VXNlcjk4NTIwOA==,0.4000052049081205,1,vmarmol,33
MDQ6VXNlcjkxNzk0NQ==,0.40000000137019964,1,aroben,34
